Season,Date,Matchday,Venue,Opponent,Result,GF,GA,xG,xGA,Possession,Shots,SoT,Corners,Fouls,Yellow_Cards,Red_Cards,Formation,Referee,Attendance
2023-24,2023-10-07,8,Home,West Ham,L,1,3,0.9,2.1,45.0,10,3,4.0,12,2,0,4-3-3,Craig Pawson,16479.0
2023-24,2023-10-21,9,Away,Wolves,D,1,1,0.8,1.0,,9,3,3.0,11,2,0,4-3-3,Chris Kavanagh,29486.0
2023-24,2023-10-28,10,Home,Burnley,W,3,0,2.5,0.4,55.0,16,8,7.0,7,0,0,4-3-3,Robert Jones,16479.0
2023-24,2023-11-04,11,Away,Newcastle,L,1,4,0.7,2.8,30.0,7,2,2.0,14,3,0,4-3-3,Anthony Taylor,52211.0
2023-24,2023-11-11,12,Home,Man City,W,1,0,0.9,0.7,35.0,8,3,3.0,12,2,0,4-3-3,Michael Oliver,16479.0
2023-24,2023-11-25,13,Away,Chelsea,L,2,3,1.3,2.0,40.0,11,4,3.0,12,2,0,4-3-3,Stuart Attwell,39410.0
2023-24,2023-12-02,14,Home,Luton,L,1,3,0.8,1.9,48.0,10,3,5.0,11,2,0,-,Darren England,16479.0
2023-24,2023-12-09,15,Away,Brighton,L,0,2,0.5,1.7,37.0,7,1,2.0,13,3,0,4-3-3,Peter Bankes,30180.0
2023-24,2023-12-16,16,Home,Arsenal,L,0,1,0.4,1.5,33.0,6,1,,14,3,0,4-2-3-1,Craig Pawson,16479.0
2023-24,2023-12-23,17,Away,Liverpool,L,1,3,0.6,2.5,28.0,5,1,1.0,15,3,0,4-3-3,Anthony Taylor,54056.0
2023-24,2023-12-26,18,Home,Nottm Forest,D,1,1,0.9,0.8,50.0,10,4,5.0,9,1,0,4-3-3,Simon Hooper,16479.0
2023-24,2023-12-30,19,Away,Man United,L,0,3,0.4,2.3,32.0,5,1,2.0,14,3,0,4-3-3,Chris Kavanagh,73571.0
2023-24,2024-01-01,20,Home,Tottenham,w,3,2,2.1,1.5,42.0,14,7,5.0,10,1,0,4-3-3,Michael Oliver,16479.0
2023-24,2024-01-13,21,Away,Everton,l,0,1,0.6,0.9,43.0,8,2,4.0,11,2,0,4-3-3,Stuart Attwell,38832.0
2023-24,2024-01-20,22,Home,Fulham,W,3,2,,1.4,48.0,15,7,6.0,9,1,0,4-3-3,Darren England,16479.0
2023-24,2024-02-03,23,Home,Man United,D,1,1,0.8,,40.0,9,3,3.0,12,2,0,4-3-3,Peter Bankes,16479.0
2023-24,2024-02-10,24,Away,Crystal Palace,W,3,1,2.0,1.0,44.0,13,6,5.0,10,1,0,4-3-3,Anthony Taylor,25058.0
2023-24,2024-02-17,25,Home,Liverpool,L,1,4,0.7,2.6,,7,2,2.0,14,3,0,4-3-3,Craig Pawson,16479.0
2023-24,2024-02-24,26,Away,Sheffield Utd,W,2,0,1.5,0.3,52.0,12,5,6.0,7,0,0,4-3-3,Stuart Attwell,30882.0
2023-24,2024-03-02,27,Home,Chelsea,W,2,1,1.6,1.0,43.0,11,5,4.0,10,1,0,4-3-3,Michael Oliver,16479.0
2023-24,2024-03-09,28,Away,Bournemouth,L,0,2,0.5,1.5,,7,1,3.0,12,3,0,4-3-3,Darren England,
2023-24,2024-03-16,29,Home,Brighton,D,0,0,0.4,0.6,44.0,7,1,3.0,11,2,0,4-2-3-1,Simon Hooper,16479.0
2023-24,2024-03-30,30,Away,Aston Villa,L,0,3,0.4,2.5,,5,0,1.0,15,3,0,4-3-3,Peter Bankes,42014.0
2023-24,2024-04-03,31,Home,Newcastle,L,2,4,1.8,,,13,6,,12,2,0,4-3-3,Anthony Taylor,16479.0
2023-24,2024-04-05,36,Away,Nottm Forest,D,1,1,0.7,0.9,,8,2,3.0,11,2,0,,Darren England,29451.0
2023-24,2024-04-06,32,Away,Man City,L,0,1,0.3,2.0,26.0,4,0,1.0,14,3,0,4-2-3-1,Craig Pawson,53478.0
2023-24,2024-04-13,33,Home,Sheffield Utd,W,2,0,1.4,0.4,54.0,13,6,6.0,7,0,0,4-3-3,Stuart Attwell,16479.0
2023-24,2024-04-20,34,Away,Luton,W,5,3,3.2,2.1,45.0,17,9,5.0,10,1,0,4-3-3,Robert Jones,
2023-24,2024-04-27,35,Home,Wolves,L,1,2,0.8,1.3,46.0,9,3,4.0,11,2,0,4-3-3,Michael Oliver,16479.0
2023-24,2024-05-19,38,Away,Newcastle,W,4,2,2.5,1.4,,16,8,5.0,10,1,0,,Peter Bankes,52211.0
2024-25,2024-08-17,1,Away,Crystal Palace,W,2,1,1.5,1.0,45.0,12,5,4.0,10,1,0,4-3-3,Anthony Taylor,24562.0
2024-25,2024-08-24,2,Home,Liverpool,L,0,2,0.5,1.8,35.0,7,1,,14,3,0,4-3-3,Michael Oliver,16479.0
2024-25,2024-08-31,3,Away,Southampton,W,3,1,2.2,0.8,48.0,14,7,5.0,9,0,0,4-3-3,Craig Pawson,
2024-25,2024-09-14,4,Home,Man City,W,2,1,1.7,1.3,40.0,11,5,4.0,11,2,0,4-3-3,Darren England,16479.0
2024-25,2024-09-21,5,Away,Man United,L,1,2,0.9,1.6,38.0,9,3,3.0,12,2,0,4-2-3-1,Stuart Attwell,73018.0
2024-25,2024-09-28,6,Home,West Ham,D,1,1,0.8,0.7,47.0,9,3,4.0,10,1,0,4-3-3,Peter Bankes,16479.0
2024-25,2024-10-05,7,Away,Tottenham,L,1,3,0.7,2.4,32.0,8,2,2.0,13,3,0,4-3-3,Simon Hooper,61489.0
2024-25,2024-10-19,8,Home,Wolves,W,5,3,3.4,2.0,48.0,18,9,7.0,8,0,0,4-3-3,Chris Kavanagh,16479.0
2024-25,2024-10-26,9,Away,Ipswich,D,4,3,2.8,1.9,50.0,16,8,6.0,9,1,0,4-3-3,Robert Jones,29502.0
2024-25,2024-11-02,10,Home,Bournemouth,w,3,2,2.1,1.5,46.0,13,6,5.0,10,1,0,4-3-3,Anthony Taylor,16479.0
2023-24,2024-11-05,37,Home,Aston Villa,L,1,3,,2.2,38.0,9,3,3.0,13,3,0,4-3-3,Craig Pawson,16479.0
2024-25,2024-11-09,11,Away,Fulham,L,1,2,0.8,1.4,42.0,10,3,,11,2,0,4-3-3,Craig Pawson,25120.0
2024-25,2024-11-23,12,Home,Leicester,W,4,1,,0.7,53.0,15,8,7.0,7,0,0,4-3-3,Michael Oliver,16479.0
2024-25,2024-11-30,13,Away,Everton,L,0,1,0.5,0.8,44.0,8,2,4.0,11,2,0,4-3-3,Stuart Attwell,39035.0
2024-25,2024-12-04,14,Home,Newcastle,W,4,2,,1.5,43.0,15,7,5.0,10,1,0,,Darren England,16479.0
2024-25,2024-12-07,15,Away,Arsenal,L,0,3,0.4,2.5,28.0,5,0,1.0,15,4,0,4-2-3-1,Peter Bankes,60276.0
2024-25,2024-12-14,16,Home,Nottm Forest,D,2,2,1.5,1.3,47.0,12,5,5.0,10,1,0,,Simon Hooper,16479.0
2024-25,2024-12-22,17,Away,Chelsea,L,0,2,0.5,,33.0,6,1,2.0,14,3,0,4-3-3,Anthony Taylor,39601.0
2024-25,2024-12-26,18,Home,Brighton,w,3,1,2.3,0.8,49.0,14,7,6.0,8,0,0,4-3-3,Craig Pawson,16479.0
2024-25,2024-12-29,19,Away,Aston Villa,L,1,3,0.7,2.1,35.0,8,2,3.0,13,3,0,4-3-3,Michael Oliver,41789.0
2024-25,2025-01-02,24,Home,Southampton,W,4,1,2.8,0.6,55.0,16,9,7.0,6,0,0,4-3-3,Anthony Taylor,16479.0
2024-25,2025-01-15,21,Away,Man City,W,2,1,1.5,1.2,35.0,10,4,3.0,11,2,0,4-3-3,Darren England,53411.0
2024-25,2025-01-18,22,Home,Liverpool,W,1,0,0.8,0.6,36.0,8,3,,12,2,0,4-3-3,Peter Bankes,16479.0
2024-25,2025-01-25,23,Away,Brighton,l,0,1,0.4,1.3,40.0,7,1,3.0,12,2,0,4-3-3,Simon Hooper,30210.0
2024-25,2025-02-15,25,Away,Leicester,W,2,0,1.6,0.4,47.0,11,5,5.0,9,0,0,4-3-3,Craig Pawson,32005.0
2024-25,2025-02-22,26,Home,Crystal Palace,W,2,1,1.4,0.9,46.0,12,5,4.0,10,1,0,4-3-3,Michael Oliver,16479.0
2024-25,2025-03-08,27,Away,Wolves,D,1,1,0.8,0.9,43.0,9,3,4.0,11,2,0,4-3-3,Stuart Attwell,29384.0
2024-25,2025-03-15,28,Home,Ipswich,W,2,0,1.5,0.3,54.0,13,6,6.0,7,0,0,4-3-3,Darren England,16479.0
2024-25,2025-03-29,29,Away,Newcastle,L,1,3,,2.3,32.0,7,2,2.0,14,3,0,,Peter Bankes,52211.0
2024-25,2025-04-01,20,Home,Arsenal,D,1,1,0.9,1.0,38.0,9,3,3.0,12,2,0,4-3-3,Stuart Attwell,16479.0
2024-25,2025-04-05,30,Home,Man United,W,2,1,1.6,0.9,45.0,12,5,4.0,10,1,0,4-3-3,Craig Pawson,16479.0
2024-25,2025-04-12,31,Away,Bournemouth,D,1,1,0.7,0.8,,8,2,4.0,11,2,0,4-3-3,Michael Oliver,10249.0
2024-25,2025-04-19,32,Home,Chelsea,L,0,1,0.5,1.3,,7,1,3.0,13,2,0,4-2-3-1,Anthony Taylor,16479.0
2024-25,2025-04-26,33,Away,Nottm Forest,l,1,2,0.8,1.5,40.0,9,3,3.0,12,2,0,4-3-3,Stuart Attwell,29461.0
2024-25,2025-05-03,34,Home,Tottenham,D,2,2,1.5,1.4,44.0,12,5,5.0,10,1,0,4-3-3,Darren England,16479.0
2024-25,2025-05-10,35,Away,West Ham,L,0,1,0.4,,40.0,7,1,3.0,12,2,0,4-3-3,Peter Bankes,62310.0
2024-25,2025-05-17,36,Home,Everton,W,2,1,1.4,0.8,49.0,11,5,5.0,9,1,0,4-3-3,Craig Pawson,16479.0
2024-25,2025-05-22,37,Home,Aston Villa,D,1,1,0.8,0.9,,9,3,4.0,10,1,0,4-3-3,Michael Oliver,16479.0
2024-25,2025-05-25,38,Away,Fulham,D,0,0,0.3,0.5,,6,1,3.0,12,2,0,4-3-3,Anthony Taylor,25015.0
